Summary By Position=====
Best Defense=====
SORT: POSITION, SORT: TEAM, SORT: PTS, SORT: FG%, SORT: FT%, SORT: 3PM, SORT: REB, SORT: AST, SORT: STL, SORT: BLK, SORT: TO, =====
PG, CHI   9, 20.0   22, 42.7   30, 84.4   117, 2.2   53, 6.2   27, 9.0   143, 1.2   34, 0.5   19, 4.1   20, =====
PG, MIN   11, 17.8   3, 36.7   1, 84.2   116, 2.1   46, 6.5   35, 8.3   136, 1.7   95, 0.6   31, 4.2   17, =====
PG, NY   18, 20.6   39, 40.4   11, 76.6   63, 2.2   56, 5.9   19, 8.1   134, 1.9   116, 0.7   56, 3.4   22, =====
PG, MIA   29, 22.0   64, 44.6   51, 77.6   76, 3.1   113, 5.9   17, 8.8   141, 1.3   35, 0.4   16, 3.9   48, =====
PG, POR   36, 19.9   21, 45.0   57, 85.2   125, 2.3   58, 5.2   7, 8.5   139, 1.7   94, 0.7   60, 3.7   24, =====
Worst Defense=====
SORT: POSITION, SORT: TEAM, SORT: PTS, SORT: FG%, SORT: FT%, SORT: 3PM, SORT: REB, SORT: AST, SORT: STL, SORT: BLK, SORT: TO, =====
PG, MEM   148, 27.1   140, 45.7   66, 84.1   113, 4.7   150, 7.9   78, 9.3   145, 1.7   92, 0.9   83, 3.7   54, =====
PG, IND   143, 24.6   123, 45.7   67, 94.7   150, 2.6   77, 6.5   40, 8.4   138, 1.4   61, 1.2   106, 2.6   106, =====
PG, SA   141, 29.1   148, 49.2   107, 73.5   42, 3.6   139, 7.4   66, 9.4   146, 2.0   134, 0.6   35, 3.6   47, =====
PG, DET   136, 27.1   141, 43.5   40, 92.2   147, 2.3   59, 7.0   55, 7.3   126, 2.3   145, 0.4   12, 2.6   115, =====
PG, HOU   132, 22.2   67, 46.2   73, 92.3   148, 2.5   75, 7.1   58, 6.4   119, 1.6   89, 1.1   91, 2.1   104, =====
Best Defense=====
